PRIM_CONTRIBUTORY_CAUSE,POSTED_SPEED_LIMIT,DEVICE_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,CRASH_TYPE,MOST_SEVERE_INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DUSK,SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DUSK,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,OTHER,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 25,NO CONTROLS,DUSK,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DUSK,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DUSK,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",SPEED LIMIT 30,NO CONTROLS,DUSK,PEDESTRIAN,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,OTHER OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,UNKNOWN,UNKNOWN,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
DISTRACTION - FROM OUTSIDE VEHICLE,SPEED LIMIT 40,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 45,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DUSK,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT UNKNOWN,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,-1
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,UNKNOWN,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
DISTRACTION - FROM INSIDE VEHICLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,PEDALCYCLIST,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT UNKNOWN,NO CONTROLS,UNKNOWN,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,NO CONTROLS,DUSK,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
